文件名	音素序号	音素	音素起点时间	音素末点时间	是否为元音	音素末边界类型	音素内音高重音类型	所在词语序号	所在词语	词语起点时间	词语末点时间	词末边界类型	词内音高重音类型	
AM-F-1_12polite	1	sil	0	0.974	0	0	NULL	1	sil	0	0.974	0	NULL
AM-F-1_12polite	2	sh	0.974	1.150	0	0	NULL	2	shut	0.974	1.326	1	H*
AM-F-1_12polite	3	ah	1.150	1.244	1	0	H*	2	shut	0.974	1.326	1	H*
AM-F-1_12polite	4	t%	1.244	1.326	0	1	NULL	2	shut	0.974	1.326	1	H*
AM-F-1_12polite	5	dhah%	1.326	1.425	1	1	NULL	3	the	1.326	1.425	1	NULL
AM-F-1_12polite	6	wihn%	1.425	1.695	1	0	L**	4	window	1.425	2.020	4	L** && L-H%
AM-F-1_12polite	7	dow%	1.695	2.020	1	4	L-H%	4	window	1.425	2.020	4	L** && L-H%
AM-F-1_12polite	8	sil	2.020	2.375	0	0	L-H%	5	sil	2.020	2.375	0	L-H%
AM-F-1_2polite	1	sil	0	1.273	0	0	NULL	1	sil	0	1.273	0	NULL
AM-F-1_2polite	2	yuw%	1.273	1.363	1	1	NULL	2	you	1.273	1.364	0	NULL
AM-F-1_2polite	3	k	1.363	1.448	0	0	NULL	3	could	1.364	1.539	1	NULL
AM-F-1_2polite	4	uhd%	1.448	1.539	1	1	NULL	3	could	1.364	1.539	1	NULL
AM-F-1_2polite	5	s	1.539	1.667	0	0	NULL	4	send	1.539	1.795	1	H*
AM-F-1_2polite	6	ehnd%	1.667	1.795	1	1	H*	4	send	1.539	1.795	1	H*
AM-F-1_2polite	7	aen%	1.795	1.923	1	1	NULL	5	an	1.795	1.923	1	NULL
AM-F-1_2polite	8	iy%	1.923	2.078	1	0	L+H**	6	email	1.923	2.450	4	L+H** && L-H%
AM-F-1_2polite	9	meyl%	2.078	2.450	1	4	L-H%	6	email	1.923	2.450	4	L+H** && L-H%
AM-F-1_2polite	10	sil	2.450	3.000	0	0	L-H%	7	sil	2.450	3.000	0	L-H%
AM-F-1_32impolite	1	sil	0	0.522	0	0	NULL	1	sil	0	0.522	0	NULL
AM-F-1_32impolite	2	yah%	0.522	0.601	1	1	NULL	2	you	0.522	0.601	1	NULL
AM-F-1_32impolite	3	k	0.601	0.673	0	0	NULL	3	could	0.601	0.757	1	NULL
AM-F-1_32impolite	4	uhd%	0.673	0.757	1	1	NULL	3	could	0.601	0.757	1	NULL
AM-F-1_32impolite	5	s	0.757	0.900	0	0	NULL	4	send	0.757	1.031	1	H*
AM-F-1_32impolite	6	ehnd%	0.900	1.031	1	1	H*	4	send	0.757	1.031	1	H*
AM-F-1_32impolite	7	ahn%	1.031	1.137	1	1	NULL	5	an	1.031	1.137	1	NULL
AM-F-1_32impolite	8	iy%	1.137	1.301	1	0	!H**	6	email	1.137	1.690	4	!H** && L-L%
AM-F-1_32impolite	9	meyl%	1.301	1.690	1	4	L-L%	6	email	1.137	1.690	4	!H** && L-L%
AM-F-1_32impolite	10	sil	1.690	2.187	0	0	L-L%	7	sil	1.690	2.187	0	L-L%
AM-F-1_35impolite	1	sil	0	0.561	0	0	NULL	1	sil	0	0.561	0	NULL
AM-F-1_35impolite	2	sh	0.561	0.738	0	0	NULL	2	shut	0.561	0.938	1	H*
AM-F-1_35impolite	3	ah	0.738	0.854	1	0	H*	2	shut	0.561	0.938	1	H*
AM-F-1_35impolite	4	t%	0.854	0.938	0	1	NULL	2	shut	0.561	0.938	1	H*
AM-F-1_35impolite	5	dhah%	0.938	1.005	1	1	NULL	3	the	0.938	1.005	1	NULL
AM-F-1_35impolite	6	wihn%	1.005	1.160	1	0	!H**	4	window	1.005	1.544	3	!H** && L-
AM-F-1_35impolite	7	dow%	1.160	1.544	1	3	L-	4	window	1.005	1.544	3	!H** && L-
AM-F-1_35impolite	8	p	1.544	1.647	0	0	L-	5	please	1.544	2.167	4	L- && H** && H-L%
AM-F-1_35impolite	9	liyz%	1.647	2.167	1	4	H** && H-L%	5	please	1.544	2.167	4	L- && H** && H-L%
